objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142344.35699773856,771136.3191535892,126834.02298366219,778894.7842926463
ForceBalance,max_abs,27562.765826367544,168225.11586964264,23084.65728318716,168558.00025958224
ForceBalance,mean_abs,4378.437737071197,23971.771282420574,4056.0415394448187,23995.64407385568
ForceBalance,rms,5920.744711572926,32075.042381925687,5275.599866877527,32397.751988480202
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4175775594243402,1.368222101081032,0.41360675322806767,1.3762419647627628
QuasisymmetryBoozer,max_abs,0.3868815220988736,0.8161859855951011,0.38528563676873673,0.8177372491135215
QuasisymmetryBoozer,mean_abs,0.004609547627672304,0.02659311462574997,0.004398152245270055,0.02719739360589208
QuasisymmetryBoozer,rms,0.025319358594032206,0.08296065061855322,0.025078593103354436,0.0834469262812419
QuasisymmetryBoozer,status,ok,ok,ok,ok
