objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142831.10625839137,771136.3191535892,126477.6834763508,774585.083005327
ForceBalance,max_abs,27797.377881773984,168225.11586964264,23121.557302374757,168126.27285900412
ForceBalance,mean_abs,4391.012103356248,23971.771282420574,4047.6108397497155,24002.674065116214
ForceBalance,rms,5940.990811746168,32075.042381925687,5260.7780973466715,32218.492047000684
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.41745273671699523,1.368222101081032,0.41387898579104343,1.3719437696307903
QuasisymmetryBoozer,max_abs,0.38697334366783265,0.8161859855951011,0.38524886108982515,0.8169326337466248
QuasisymmetryBoozer,mean_abs,0.004595727454999509,0.02659311462574997,0.004416004947346152,0.02690283707442483
QuasisymmetryBoozer,rms,0.025311790105696043,0.08296065061855322,0.025095099627058578,0.08318630992052665
QuasisymmetryBoozer,status,ok,ok,ok,ok
