objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142373.99566265702,771136.3191535892,126838.71297018122,778894.7842926463
ForceBalance,max_abs,27576.98446743376,168225.11586964264,23084.844359434843,168558.00025958224
ForceBalance,mean_abs,4379.245678075314,23971.771282420574,4056.1937062840034,23995.64407385568
ForceBalance,rms,5921.977517511111,32075.042381925687,5275.794944599367,32397.751988480202
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4175633334215692,1.368222101081032,0.4136039281200751,1.3762419647627628
QuasisymmetryBoozer,max_abs,0.3868882572099377,0.8161859855951011,0.3852860259967933,0.8177372491135215
QuasisymmetryBoozer,mean_abs,0.004608136931596375,0.02659311462574997,0.004397952702673516,0.02719739360589208
QuasisymmetryBoozer,rms,0.025318496015913745,0.08296065061855322,0.02507842180602123,0.0834469262812419
QuasisymmetryBoozer,status,ok,ok,ok,ok
