objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142991.26536719623,771408.5477482048,771408.5477482048,774604.7532560494
ForceBalance,max_abs,27905.8284663224,168067.6303319437,168067.6303319437,168120.37744448092
ForceBalance,mean_abs,4392.743116229755,24045.169278004123,24045.169278004123,24003.967521754916
ForceBalance,rms,5947.652552446446,32086.365598707187,32086.365598707187,32219.3102215697
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.41751339042346514,1.3676947867626286,1.3676947867626286,1.3718454612081004
QuasisymmetryBoozer,max_abs,0.3869989138272564,0.8157840101426441,0.8157840101426441,0.8169317544646897
QuasisymmetryBoozer,mean_abs,0.004598959165394649,0.02646705341330249,0.02646705341330249,0.026899883116532262
QuasisymmetryBoozer,rms,0.02531546777684841,0.08292867749160207,0.08292867749160207,0.08318034909684079
QuasisymmetryBoozer,status,ok,ok,ok,ok
