objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,780579.9226370415,771408.5477482048,781674.9077829514,771154.3290088152
ForceBalance,max_abs,172594.15247065207,168067.6303319437,173230.70779608763,168223.2850136265
ForceBalance,mean_abs,23650.571139298558,24045.169278004123,23682.453752431353,23972.32838346941
ForceBalance,rms,32467.844503218985,32086.365598707187,32513.389880982006,32075.79149314678
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,1.3788119673173227,1.3676947867626286,1.379172764384871,1.3681374491001501
QuasisymmetryBoozer,max_abs,0.8172093532465982,0.8157840101426441,0.8173564109329717,0.8161621569154079
QuasisymmetryBoozer,mean_abs,0.02746441838233982,0.02646705341330249,0.0274616272614586,0.026591015899714077
QuasisymmetryBoozer,rms,0.08360275557522069,0.08292867749160207,0.08362463211079296,0.08295551783827979
QuasisymmetryBoozer,status,ok,ok,ok,ok
