objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142425.37755491756,771408.5477482048,126849.58975817026,774604.7532560494
ForceBalance,max_abs,27673.055429297732,168067.6303319437,23164.660500032827,168120.37744448092
ForceBalance,mean_abs,4378.218429806142,24045.169278004123,4060.422343642874,24003.967521754916
ForceBalance,rms,5924.114722478618,32086.365598707187,5276.247359337283,32219.3102215697
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4176025987962266,1.3676947867626286,0.41373469877274355,1.3718454612081004
QuasisymmetryBoozer,max_abs,0.386920408175483,0.8157840101426441,0.3852670437132848,0.8169317544646897
QuasisymmetryBoozer,mean_abs,0.004609539411217657,0.02646705341330249,0.004402971611865897,0.026899883116532262
QuasisymmetryBoozer,rms,0.02532087682895995,0.08292867749160207,0.02508635094151658,0.08318034909684079
QuasisymmetryBoozer,status,ok,ok,ok,ok
