objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142873.49799910552,771136.3191535892,124710.92050028287,774585.083005327
ForceBalance,max_abs,27765.63683697567,168225.11586964264,23017.119730778788,168126.27285900412
ForceBalance,mean_abs,4388.363056832095,23971.771282420574,3995.7820669859784,24002.674065116214
ForceBalance,rms,5942.754075706477,32075.042381925687,5187.290445515673,32218.492047000684
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4175954417318243,1.368222101081032,0.4143818063539408,1.3719437696307903
QuasisymmetryBoozer,max_abs,0.38697542217313896,0.8161859855951011,0.385219271396231,0.8169326337466248
QuasisymmetryBoozer,mean_abs,0.004606581262144972,0.02659311462574997,0.004450861966102584,0.02690283707442483
QuasisymmetryBoozer,rms,0.025320442868187895,0.08296065061855322,0.025125587601934427,0.08318630992052665
QuasisymmetryBoozer,status,ok,ok,ok,ok
