objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,771152.1920117345,771408.5477482048,771408.5477482048,771154.3290088152
ForceBalance,max_abs,171829.7128910299,168067.6303319437,168067.6303319437,168223.2850136265
ForceBalance,mean_abs,23338.562944522546,24045.169278004123,24045.169278004123,23972.32838346941
ForceBalance,rms,32075.702605786348,32086.365598707187,32086.365598707187,32075.79149314678
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,1.3725147351976241,1.3676947867626286,1.3676947867626286,1.3681374491001501
QuasisymmetryBoozer,max_abs,0.8147744823178741,0.8157840101426441,0.8157840101426441,0.8161621569154079
QuasisymmetryBoozer,mean_abs,0.027351710604623155,0.02646705341330249,0.02646705341330249,0.026591015899714077
QuasisymmetryBoozer,rms,0.08322092979318321,0.08292867749160207,0.08292867749160207,0.08295551783827979
QuasisymmetryBoozer,status,ok,ok,ok,ok
